[[601,  47,  51,  24,  23,  12,  21,  22, 109,  90],
 [ 26, 706,  10,  38,   7,  16,   7,  12,  36, 142],
 [ 72,  32, 432, 110,  95,  83,  76,  50,  17,  33],
 [ 23,  39,  69, 419,  46, 182,  85,  38,  19,  80],
 [ 46,  18, 141,  85, 480,  49,  78,  58,  22,  23],
 [ 23,  16,  61, 211,  53, 478,  46,  53,  16,  43],
 [  9,  29,  84, 118,  77,  54, 571,  20,   9,  29],
 [ 25,  31,  38,  84,  52,  69,  12, 573,  12, 104],
 [ 80,  89,  12,  42,  17,  18,   8,  14, 653,  67],
 [ 30, 135,   6,  41,   9,  20,  11,  27,  45, 676]]
